,tic_tess_id,tic_ra,tic_dec,tic_Tmag,bjd0,period,morph_coeff
1091,228760807,194.10141041659,-27.3905828803397,9.4586,1571.438987604941,0.7779783657063973,0.51050186
1093,198037741,61.6537070111043,-56.5752786716344,8.5467,1354.5188879348402,0.7799847891063135,0.65934205
1096,198076334,63.6503914667638,-59.0896783601396,8.2054,1354.24201745586,0.7826006127320226,0.54514164
1101,280055342,237.237213961844,-36.6556353117695,9.0537,1628.4622480572425,0.7865935711747879,0.6282724000000001
1114,280278364,144.100672382246,-51.6672111783865,9.6657,1544.2934642728626,0.7938791285343767,0.4770137
1117,260370473,95.2344444903155,-54.5201181845647,9.392,1468.567803820819,0.7950521711470409,0.7532576
1118,260370454,95.2508475732768,-54.5491270907674,9.569,1411.317725060885,0.7951027463466592,0.69724596
1120,382312052,288.06191745643,-67.3760064836488,9.7775,1654.798138823861,0.7972678347818858,0.47498247
1124,160159932,222.381819814202,-40.1079124964357,9.4461,1599.997914280017,0.7991886128482282,0.79773545
1137,201291281,2.69732,-57.48678,8.338,1325.907139544369,0.8103626681045918,0.67063355
1154,279181220,51.0968653194934,-0.704146646403574,9.5599,1411.5040678427133,0.8232814514871929,0.6312943
1164,267239205,236.200133513031,-48.0735966571017,9.6441,1627.9778794289748,0.8303663827997565,0.6084315
1168,29697290,133.342956224797,-44.3331170792263,7.3273,1517.7667848355004,0.8352302554316565,0.64459234
1169,51912829,14.2983843819147,-67.4962602780487,9.5183,1325.8974091296311,0.8354048419926265,0.5028706000000001
1177,98777963,44.9904300330623,-16.4556658363141,9.8306,1411.9224951523086,0.8447668519546712,0.86135924
1178,140084919,126.534584,-48.909116,8.688,1518.5341482177698,0.8450043094601691,1.0107218
1181,300443831,111.754677668965,-69.5153450274433,8.2715,1354.4674388320614,0.8474457196248042,0.8831247999999999
1184,200282468,72.2394450745017,-47.1345180585847,7.3163,1411.079583114742,0.8520160817594185,0.91775656
1190,219967673,306.037754676858,-54.5430815678868,7.4401,1654.6593209328976,0.8586386071020534,0.82654274
1192,121714982,73.2516103657653,-18.1082801049518,9.19948,1439.2096235696924,0.8601618628458199,0.8902179
1197,73201833,153.937914748984,-36.9836987512724,9.45,1544.9991773146012,0.8649434174640172,0.59357405
1199,234491752,9.30583647166875,-63.8201340438378,9.4941,1325.93936713292,0.8658398268880939,0.60438055
1206,210636260,212.76158530019,-55.4476963417153,7.5785,1598.4991956455929,0.8688271941761736,0.80271435
1209,197886566,57.3105071631948,-58.4411357187075,9.826,1354.3741342236883,0.872142491641976,0.49558437
1218,399423563,163.93366788505,-68.7908855461294,7.9261,1570.4066623212204,0.884172627569353,0.685413
1221,258837989,197.79871219655,-47.2894176042121,8.5565,1598.4568434472146,0.8870530570677855,0.65938544
1223,229889119,198.849572981835,-24.1796403216491,8.9665,1571.660672446014,0.8875196817026809,0.7503774000000001
1231,382512330,117.516381798244,-60.6670951599434,8.8343,1545.1367682538448,0.8911385146858385,0.8662964
1238,413395842,176.844951542843,-23.0417568761445,8.85074,1571.6413234308036,0.8970931710022518,0.8079970000000001
1242,231826813,22.9057732831753,-61.2493220512568,7.0291,1325.7202967507635,0.9007542553895608,0.5932996
1246,168674931,61.2765057938211,-31.1696866826081,8.26824,1411.4548380249205,0.9013817067724956,0.59857464
1250,294092966,107.348232816488,-57.4964217595255,8.6744,1570.9800743919736,0.9022623616987434,0.67297125
1259,83914837,218.021340520199,-27.7091388555179,7.2435,1600.3556119430957,0.9118506553122594,0.6488289
1263,197908268,58.612004304524,-58.5776799120004,9.7179,1353.8600638194391,0.9131569345636836,0.62319136
1265,169532543,78.0438100581122,-13.1996046163408,9.7605,1438.6475966644282,0.9154337097639648,0.6266178000000001
1267,303441920,138.728962064863,-69.8670268022197,9.7332,1570.8821902360469,0.9176656705207048,0.88481367
1268,88479623,47.0277614258258,-24.7596483765234,8.7359,1411.8156347655474,0.9182031689955632,0.50174034
1270,294327312,108.871210227506,-58.5426227276011,6.582,1410.663252446102,0.9185461619338876,0.58452344
1271,83939434,218.185721415385,-29.320394987644,8.88679,1600.0164198037246,0.92102533311461,0.7699597
1274,56332484,126.997587370625,-35.1137609786254,5.9192,1518.0244657780734,0.9225557806446696,0.6340729
1276,147314529,104.699028057782,-17.6321439089164,8.2546,1468.4408157533694,0.925605935221542,0.60113937
1279,121078334,56.5986922921628,-21.9721043001989,9.3429,1411.6328179572774,0.9285756557623548,0.6429212
1280,379865347,257.284684333898,-37.9127715980931,8.6257,1628.4843709307513,0.9328605805801904,0.4697192
1286,201293780,3.23707973598788,-57.3567280419794,9.7546,1325.7488800876215,0.9377425644439594,0.44695038
1288,100100827,24.3543062905944,-45.6778823650122,8.8287,1355.4059419738817,0.9414549156684436,0.5368559
1289,245527958,252.02091549182,-46.0242089579131,9.6452,1628.0012636907545,0.9415949012249656,0.9674926
1294,152377056,232.358611605339,-44.5442423054478,8.6911,1627.9721259197158,0.9432620481934842,0.5714903
1295,437241830,165.450183261297,-21.8418879478968,7.88236,1545.0184983447632,0.9442650702458542,0.6158891
1305,261105201,82.8273670408244,-79.0087723001529,8.3629,1598.425898008817,0.9555700337152948,0.7922585
1317,302457456,33.8393307224563,-12.2074377554911,9.9382,1411.8055467391523,0.9751629209017496,0.5803976
1320,322650462,97.2999256489388,-26.1188301767342,5.6978,1469.2550312893752,0.9792733915546088,0.46876866
1328,91448148,313.671574426852,-45.7307067659915,9.0554,1325.7033274399355,0.986354277811596,0.61665905
1330,146601322,149.277589,-1.343969,8.396,1517.9321373426528,0.9869950094679584,0.57633865
1331,384534266,253.262998586982,-81.5946056611156,7.8706,1625.3689455813128,0.987776108955806,0.9367657
1332,405387285,184.248839271727,-56.4067307304622,9.6955,1570.9667898833834,0.9879181421260876,0.9247322
1333,36594985,250.127871,-48.488624,8.741,1627.5838855996906,0.9879676497024512,0.5401005999999999
1336,312102715,182.038410582079,-66.9841780503449,9.1117,1597.7649815840302,0.9936833347693278,0.79970616
1337,420962954,82.0773354635767,-19.5213058694046,9.26776,1438.1633486725195,0.9970005566159325,0.66740227
